genus,species,latitude,longitude,doy,day,month,year,lma,narea,vcmax,jmax,tleaf,ca,ca_real,origdata,dataset,contributor,precipitation_gs,temperature_gs,vpd_gs,par_gs,alpha,z,sand_top40,silt_top40,clay_top40,bulkD_top40,waterC_top40,pH_top40,orgC_top40,totN_top40,CN_top40,CECS_top40,open
Dupontia,fisheri,71.32,-156.62,NA,NA,NA,NA,NA,NA,19.49316724,80.01018716,6.931252333,394.8864441,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Carex,aquatilis,71.32,-156.62,NA,NA,NA,NA,NA,NA,20.81440359,74.86744618,9.907481233,382.4453278,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Carex,aquatilis,71.32,-156.62,NA,NA,NA,NA,NA,NA,21.15812226,84.21393965,7.259089385,392.7141113,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Carex,aquatilis,71.32,-156.62,NA,NA,NA,NA,NA,NA,21.23853341,79.95927043,9.032543479,392.0663147,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Eriophorum,angustifolium,71.32,-156.62,NA,NA,NA,NA,NA,NA,21.4258611,82.11716887,8.711400399,388.9775391,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Salix,pulchra,71.32,-156.62,NA,NA,NA,NA,NA,NA,22.21215833,76.14770237,8.343093945,390.1877441,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Carex,aquatilis,71.32,-156.62,NA,NA,NA,NA,NA,NA,22.60172058,74.69965346,8.953087084,374.7572937,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Eriophorum,angustifolium,71.32,-156.62,NA,NA,NA,NA,NA,NA,22.76629677,82.93234517,13.26080608,389.0979716,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Eriophorum,angustifolium,71.32,-156.62,NA,NA,NA,NA,NA,NA,23.04938441,93.33907955,7.812009701,389.3158264,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Carex,aquatilis,71.32,-156.62,NA,NA,NA,NA,NA,NA,23.1883224,90.64338414,7.522614765,391.6362305,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Eriophorum,angustifolium,71.32,-156.62,NA,NA,NA,NA,NA,NA,23.55616209,85.98025783,10.04504622,396.2745361,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Carex,aquatilis,71.32,-156.62,NA,NA,NA,NA,NA,NA,24.18569362,80.57498229,10.04937931,379.157486,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Dupontia,fisheri,71.32,-156.62,NA,NA,NA,NA,NA,NA,24.19914859,91.95791168,12.45165777,388.7711487,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Salix,pulchra,71.32,-156.62,NA,NA,NA,NA,NA,NA,24.52940716,87.84891999,9.822426282,390.8749695,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Eriophorum,angustifolium,71.32,-156.62,NA,NA,NA,NA,NA,NA,25.14125217,92.5817464,8.286081754,391.7167969,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Eriophorum,angustifolium,71.32,-156.62,NA,NA,NA,NA,NA,NA,25.60218915,96.06971969,10.14656756,394.3872681,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Carex,aquatilis,71.32,-156.62,NA,NA,NA,NA,NA,NA,25.79852632,98.63148282,8.000939941,391.5161743,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Carex,aquatilis,71.32,-156.62,NA,NA,NA,NA,NA,NA,25.81173295,97.95856273,7.989573193,389.8453064,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Carex,aquatilis,71.32,-156.62,NA,NA,NA,NA,NA,NA,26.2508559,79.85087878,9.393295612,382.9919129,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Petasites,frigidus,71.32,-156.62,NA,NA,NA,NA,NA,NA,26.64734397,72.09019356,9.39802698,377.2746887,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Eriophorum,angustifolium,71.32,-156.62,NA,NA,NA,NA,NA,NA,26.66603128,96.79529155,11.24949573,395.4225464,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Carex,aquatilis,71.32,-156.62,NA,NA,NA,NA,NA,NA,26.921762,104.4407215,8.039696365,392.7483826,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Petasites,frigidus,71.32,-156.62,NA,NA,NA,NA,NA,NA,27.11812433,85.89109719,10.03699735,378.0270386,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Salix,pulchra,71.32,-156.62,NA,NA,NA,NA,NA,NA,27.40563781,98.46654596,9.745919008,387.4776001,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Carex,aquatilis,71.32,-156.62,NA,NA,NA,NA,NA,NA,27.6095582,96.40795856,8.021419546,388.6828613,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Carex,aquatilis,71.32,-156.62,NA,NA,NA,NA,NA,NA,27.74906887,111.1599816,7.897509013,392.050293,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Carex,aquatilis,71.32,-156.62,NA,NA,NA,NA,NA,NA,28.03579207,79.85007407,9.463017961,374.6092377,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Eriophorum,angustifolium,71.32,-156.62,NA,NA,NA,NA,NA,NA,28.24727301,104.5290499,8.9257712,390.4978638,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Carex,aquatilis,71.32,-156.62,NA,NA,NA,NA,NA,NA,28.44178744,112.7891268,8.290580601,388.52005,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Petasites,frigidus,71.32,-156.62,NA,NA,NA,NA,NA,NA,28.96684725,98.70214259,8.673089272,376.1666768,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Petasites,frigidus,71.32,-156.62,NA,NA,NA,NA,NA,NA,30.04339897,87.75301657,9.272086657,375.9191589,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Petasites,frigidus,71.32,-156.62,NA,NA,NA,NA,NA,NA,30.64807759,88.91387835,11.02757366,377.7370605,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Dupontia,fisheri,71.32,-156.62,NA,NA,NA,NA,NA,NA,30.94435628,106.2374219,16.3542322,392.0787048,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Salix,pulchra,71.32,-156.62,NA,NA,NA,NA,NA,NA,31.47612685,107.6847448,10.41676939,387.4589539,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Dupontia,fisheri,71.32,-156.62,NA,NA,NA,NA,NA,NA,31.71830759,109.6263273,14.66574933,388.3919678,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Dupontia,fisheri,71.32,-156.62,NA,NA,NA,NA,NA,NA,31.9533632,110.5098186,15.30646647,389.4739685,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Salix,pulchra,71.32,-156.62,NA,NA,NA,NA,NA,NA,33.28914463,114.8404933,9.961369954,385.0117798,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Carex,aquatilis,71.32,-156.62,NA,NA,NA,NA,NA,NA,33.37920212,81.81097241,9.771572195,376.5637614,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Salix,pulchra,71.32,-156.62,NA,NA,NA,NA,NA,NA,33.96551369,76.65180105,12.21635532,393.1408691,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Petasites,frigidus,71.32,-156.62,NA,NA,NA,NA,NA,NA,34.27751758,117.2543688,12.98896281,383.1640625,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Salix,pulchra,71.32,-156.62,NA,NA,NA,NA,NA,NA,35.80968424,104.2999417,10.11436242,386.8790741,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Carex,aquatilis,71.32,-156.62,NA,NA,NA,NA,NA,NA,36.50443078,102.828686,18.78002145,335.8952026,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Salix,pulchra,71.32,-156.62,NA,NA,NA,NA,NA,NA,37.03594652,114.0327763,10.21199512,387.0075379,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Salix,pulchra,71.32,-156.62,NA,NA,NA,NA,NA,NA,38.27231427,121.3201582,10.12778524,385.5894775,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Petasites,frigidus,71.32,-156.62,NA,NA,NA,NA,NA,NA,38.60812798,128.0498183,13.81429315,374.4340516,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Petasites,frigidus,71.32,-156.62,NA,NA,NA,NA,NA,NA,42.27558075,115.1438695,17.13990505,377.0175476,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Petasites,frigidus,71.32,-156.62,NA,NA,NA,NA,NA,NA,44.41291534,133.6953365,13.55679846,383.164917,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Arctagrostis,latifolia,71.32,-156.62,NA,NA,NA,NA,NA,NA,45.61756394,113.9355632,18.84801907,387.3264465,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Arctophila,fulva,71.32,-156.62,NA,NA,NA,NA,NA,NA,46.23715098,144.224715,14.95579743,390.7185669,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Petasites,frigidus,71.32,-156.62,NA,NA,NA,NA,NA,NA,47.14171279,140.9949175,12.48049164,376.0892334,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Petasites,frigidus,71.32,-156.62,NA,NA,NA,NA,NA,NA,47.23976731,128.9726548,14.64581637,389.0673523,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Arctophila,fulva,71.32,-156.62,NA,NA,NA,NA,NA,NA,47.56026997,149.4709104,13.80643044,385.5545654,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Arctagrostis,latifolia,71.32,-156.62,NA,NA,NA,NA,NA,NA,49.03556711,147.3599386,17.88237033,384.3531494,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Arctophila,fulva,71.32,-156.62,NA,NA,NA,NA,NA,NA,49.77483328,150.3721578,14.19879729,384.048645,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Arctagrostis,latifolia,71.32,-156.62,NA,NA,NA,NA,NA,NA,50.57460254,130.2805894,20.23360155,386.4230347,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Arctophila,fulva,71.32,-156.62,NA,NA,NA,NA,NA,NA,51.20088391,160.0842909,14.48206452,386.774231,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Arctagrostis,latifolia,71.32,-156.62,NA,NA,NA,NA,NA,NA,51.24121447,134.4214703,19.7407032,385.8581543,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Petasites,frigidus,71.32,-156.62,NA,NA,NA,NA,NA,NA,51.48696013,174.5795367,13.44958312,388.5890198,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Petasites,frigidus,71.32,-156.62,NA,NA,NA,NA,NA,NA,52.00029324,148.3447483,15.84037101,390.7345428,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Arctagrostis,latifolia,71.32,-156.62,NA,NA,NA,NA,NA,NA,52.14264521,139.6262254,20.4159211,388.887146,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Petasites,frigidus,71.32,-156.62,NA,NA,NA,NA,NA,NA,52.41135386,149.8318415,16.08594949,391.5698243,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Arctophila,fulva,71.32,-156.62,NA,NA,NA,NA,NA,NA,52.48539525,154.6639451,14.37469347,387.0008545,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Carex,aquatilis,71.32,-156.62,NA,NA,NA,NA,NA,NA,52.54550655,152.150512,19.83785572,382.1346207,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Arctophila,fulva,71.32,-156.62,NA,NA,NA,NA,NA,NA,53.18948696,164.0734021,13.14606073,383.4498596,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Petasites,frigidus,71.32,-156.62,NA,NA,NA,NA,NA,NA,55.05055164,164.682895,17.46345502,360.7838542,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



